ID,Category,Text_Length,Keywords,Text_Preview
10554236,ACCOUNTANT,24149,aws,"ACCOUNTANT Summary Financial Accountant specializing in financial planning, reporting and analysis within the Department of Defense. Highlights Account reconciliations Results-oriented Financial repor..."
10674770,ACCOUNTANT,7488,,"STAFF ACCOUNTANT Summary Highly analytical and detail-oriented professional; possessing extensive financial statement background in quality assurance, compliance, auditing, customer service and regula..."
11163645,ACCOUNTANT,4742,,"ACCOUNTANT Professional Summary To obtain a position in a fast-paced business office environment, demanding a strong organizational, technical, and interpersonal position utilizing my skills and attri..."
11759079,ACCOUNTANT,5917,,"SENIOR ACCOUNTANT Experience Company Name June 2011 to Current Senior Accountant City , State Prepare quarterly and annual financial statements for 17 multi-family communities for distribution to inve..."
12065211,ACCOUNTANT,5561,sql,SENIOR ACCOUNTANT Professional Summary Senior accountant who completes accounting activities with accuracy and speed with extensive experience in full life cycle of general ledger accounting Skills Ad...
12202337,ACCOUNTANT,5227,,INVESTMENT ACCOUNTANT Career Focus Accomplished and results oriented Investment professional with strong leadership and interpersonal skills who adds energy and value to an organization's quest for ex...
12338274,ACCOUNTANT,5849,git,"ACCOUNTANT Summary To pursue excellence in the dynamic business world by obtaining a placement allowing me to perform in an environment where honesty, sincerity & a positive attitude would be valued. ..."
12442909,ACCOUNTANT,4821,,ACCOUNTANT Summary To utilize my customer relations and management background to obtain a position with a company that places importance on efficiency and success. Employ natural leadership and interp...
12780508,ACCOUNTANT,7470,,"ACCOUNTANT II Accomplishments Military Training Certificate, 2005; PNC Conversation: Deep Dive into Savings and Investment training 2012; Operational and Soundness Training 2013; Employee of the month..."
12802330,ACCOUNTANT,6409,aws,"LEAD ACCOUNTANT Highlights QuickBooks, Peachtree, In-house Accounting Systems and Financial Reporting, MAS 90, FAR, WAWF, Great Plains, Integration Manager, FRx reporting. Hyperion Workspace, Planning..."
13072019,ACCOUNTANT,6056,,"PROJECT ACCOUNTANT Career Focus Dedicated and focused professional who excels at prioritizing, completing multiple tasks simultaneously and following through to achieve project goals. Seeking a role o..."
